name,box_office,genres,average,ratings_count,collect_count,wish_count,reviews_count
哈利·波特与死亡圣器(下),40245,"[""剧情"",""悬疑"",""奇幻""]",8.6,235800,303108,25109,1890
道士下山,40077,"[""喜剧"",""动作"",""奇幻""]",5.4,114652,130718,10832,1432
疯狂原始人,39473,"[""喜剧"",""动画"",""冒险""]",8.7,330378,396120,41567,0
超人：钢铁之躯,39449,"[""动作"",""科幻"",""冒险""]",6.8,112114,130051,13187,915
忍者神龟2：破影而出,39352,"[""喜剧"",""动作"",""科幻""]",6.3,40089,42774,4942,203
爱宠大机密,38916,"[""喜剧"",""动画""]",7.5,83563,91853,15672,289
忍者神龟：变种时代,38772,"[""喜剧"",""动作"",""科幻""]",6.4,74045,85974,7055,181
爱丽丝梦游仙境2：镜中奇遇记,38704,"[""奇幻"",""冒险""]",7,196594,244769,36368,1459
地心历险记2：神秘岛,38655,"[""动作"",""冒险"",""家庭""]",6.2,48833,60186,6906,233
荒野猎人,37741,"[""剧情"",""惊悚"",""冒险""]",7.8,173771,195783,41913,1253
绿灯侠,6251,"[""动作"",""科幻""]",5.9,44691,54359,5474,215
晚秋,6126,"[""剧情""]",6.9,167246,218947,43845,2018
魔法师的学徒,6119,"[""动作"",""冒险"",""喜剧""]",6.1,45976,57676,8315,185
侠探杰克：永不回头,6110,"[""动作"",""惊悚"",""犯罪""]",6.1,46483,54270,6033,157
全球热恋,5825,"[""喜剧"",""爱情""]",5.7,80240,108465,4935,238
天际浩劫,5723,"[""动作"",""科幻"",""灾难""]",4.4,27468,33192,2953,329
灵魂战车2：复仇时刻,5700,"[""动作"",""奇幻"",""惊悚""]",5.4,32875,41598,3935,117
海绵宝宝,5674,"[""喜剧"",""动画"",""冒险""]",7.2,18547,21643,6044,45
别惹我,5646,"[""喜剧"",""动作"",""犯罪""]",6,25169,28273,3485,176
赤焰战场2,5581,"[""喜剧"",""动作""]",7.5,60632,74298,6853,154
大战外星人,3014,"[""动画"",""动作"",""冒险""]",6.9,23367,28808,4493,137
特警判官,3007,"[""动作"",""科幻"",""惊悚""]",6.3,22783,27315,3082,110
猫头鹰王国,2998,"[""动作"",""动画"",""奇幻""]",7.4,28527,35289,11353,157
最后的风之子,2981,"[""动作"",""冒险"",""家庭""]",4.9,16164,19468,4093,143
圣杯神器：骸骨之城,2971,"[""动作"",""奇幻"",""冒险""]",5.4,16482,19178,3626,104
战略特勤组,2968,"[""剧情"",""悬疑"",""惊悚""]",7.8,37932,44761,10232,556
谍影特工,2956,"[""惊悚""]",6.3,8706,10175,1399,38
波西·杰克逊与神火之盗,2947,"[""冒险"",""奇幻""]",5.9,36299,42985,4772,230
考拉大冒险,2891,"[""动画"",""冒险"",""家庭""]",5.4,778,957,419,3
非常小特工之时间大盗,2888,"[""动作"",""冒险"",""喜剧""]",5.6,5954,7621,972,28
天降美食,210,"[""喜剧"",""动画"",""奇幻""]",7.4,82035,101995,14877,201
